Review,Sentimen
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Barang oke lah, standar saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
Pengiriman lama dan tidak aman.,negatif
"Barang oke lah, standar saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
Pengiriman lama dan tidak aman.,negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
Pengiriman lama dan tidak aman.,negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Barang oke lah, standar saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
Pengiriman lama dan tidak aman.,negatif
Cukup puas tapi bisa lebih baik.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
Pengiriman lama dan tidak aman.,negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Barang oke lah, standar saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
Pengiriman lama dan tidak aman.,negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
Pengiriman lama dan tidak aman.,negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
Pengiriman lama dan tidak aman.,negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
"Barang oke lah, standar saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
Pengiriman lama dan tidak aman.,negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Barang oke lah, standar saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Barang oke lah, standar saja.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Barang tidak sesuai pesanan, kecewa.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
Pengiriman lama dan tidak aman.,negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Barang oke lah, standar saja.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Barang oke lah, standar saja.",netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Barang tidak sesuai pesanan, kecewa.",negatif
Pengemasan baik tapi produk standar.,netral
Produk sangat bagus dan sesuai deskripsi.,positif
Pengiriman lama dan tidak aman.,negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
"Pelayanan memuaskan, akan beli lagi.",positif
"Penjual tidak responsif, tidak rekomen.",negatif
Pengemasan baik tapi produk standar.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Penjual tidak responsif, tidak rekomen.",negatif
Cukup puas tapi bisa lebih baik.,netral
Pengiriman cepat dan aman. Terima kasih!,positif
"Penjual tidak responsif, tidak rekomen.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
"Suka sekali dengan produk ini, tidak mengecewakan.",positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Sesuai harga, tidak lebih tidak kurang.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
"Produk rusak saat diterima, sangat buruk.",negatif
Pengemasan baik tapi produk standar.,netral
Barang original dan berkualitas. Recommended seller.,positif
"Kualitas jelek, tidak sesuai harga.",negatif
"Produk sesuai deskripsi, tapi biasa saja.",netral
Produk sangat bagus dan sesuai deskripsi.,positif
